NOMBRE,TIPO,AÑO,MES,AUTOS,MOTOS,AUTOBUS DE 2 EJES,AUTOBUS DE 3 EJES,AUTOBUS DE 4 EJES,CAMIONES DE 2 EJES,CAMIONES DE 3 EJES,CAMIONES DE 4 EJES,CAMIONES DE 5 EJES,CAMIONES DE 6 EJES,CAMIONES DE 7 EJES,CAMIONES DE 8 EJES,CAMIONES DE 9 EJES,TRICICLOS,TOTAL,EJE EXTRA AUTOBUS,EJE EXTRA CAMION,PEATONES
Chapalilla - Compostela ,CAMINO,2021,ENERO,138650,2112,5740,1281,0,5201,4719,455,6091,2094,21,1,903,0,167268,691,0,0
Cuauhtemoc-Osiris ,CAMINO,2021,ENERO,136498,740,2706,4360,0,13266,9690,2813,52299,9886,2066,109,24905,0,259338,2414,1,0
Culiacán,PUENTE NACIONAL,2021,ENERO,225656,3055,5814,529,0,7695,4131,606,7171,1519,1,4,505,0,256686,2108,0,0
Sinaloa,PUENTE NACIONAL,2021,ENERO,233139,1547,11335,3479,0,13660,11768,2326,58120,6363,803,64,22163,0,364767,3307,4,0
Pánuco,PUENTE NACIONAL,2021,ENERO,125150,5428,8599,304,0,5421,2931,370,2716,1344,37,19,2264,0,154583,879,129,0
Alvarado,PUENTE NACIONAL,2021,ENERO,109451,7594,6443,425,0,4911,3979,137,2403,1144,0,0,373,0,136860,814,2,0
Papaloapan,PUENTE NACIONAL,2021,ENERO,42572,8137,2773,94,0,4186,4277,116,2999,571,2,2,786,0,66515,5145,615,0
Caracol,PUENTE NACIONAL,2021,ENERO,137476,15215,9837,220,1,7541,4506,260,5262,1025,41,151,11516,0,193051,1206,407,0
Nautla,PUENTE NACIONAL,2021,ENERO,108245,2878,3711,1275,0,6992,8023,565,12224,3328,150,26,7571,0,154988,1236,16,0
Grijalva,PUENTE NACIONAL,2021,ENERO,337781,13307,9065,1386,0,14323,9353,1049,19374,7622,325,56,11535,0,425176,3279,13,0
Usumacinta,PUENTE NACIONAL,2021,ENERO,75262,8134,2576,901,0,4553,4511,497,12577,2288,322,41,10078,0,121740,1220,0,0
Cadereyta,PUENTE NACIONAL,2021,ENERO,110508,1913,150,23,1,6106,5695,828,13945,5492,331,314,6283,0,151589,676,23,0
La Piedad,PUENTE NACIONAL,2021,ENERO,55272,1004,3660,1249,0,9372,12199,946,27427,3272,43,22,1530,0,115996,500,1,0
Tecolutla,PUENTE NACIONAL,2021,ENERO,97378,8970,4012,1073,0,7144,5899,367,9797,2466,36,28,4921,0,142091,634,17,0
San Juan,PUENTE NACIONAL,2021,ENERO,50812,102,454,2,0,2798,1462,172,4460,778,22,28,5616,0,66706,1101,857,0
Tampico,PUENTE NACIONAL,2021,ENERO,234057,1917,7129,1852,0,7129,3220,280,1649,840,26,22,985,0,259106,856,24,0
Tlacotalpan,PUENTE NACIONAL,2021,ENERO,34333,3672,964,11,0,1053,1019,49,422,122,0,0,40,0,41685,506,0,0
Dovalí Jaime,PUENTE NACIONAL,2021,ENERO,190487,4355,4823,2403,0,20070,24705,2931,69433,12379,937,444,38128,0,371095,1533,30,0
Dovalí Jaime Bis,PUENTE NACIONAL,2021,ENERO,14513,1268,11,0,0,531,118,13,18,3,0,0,0,0,16475,55,0,0
Refineria Lazaro Cárdenas,PUENTE NACIONAL,2021,ENERO,2181,38,4,1,0,162,205,10,64,46,2,2,88,0,2803,8,0,0
